model,n_animals,mean_a2n,median_a2n,mean_n2a,median_n2a,frac_a2n_gt1,frac_n2a_gt1,frac_strong_bidir_gt2
base,30,2.198941849514566,2.022745906009343,0.9287777136377021,0.9105875851195474,0.9333333333333333,0.3,0.0
base+instruct_head,30,5.764198398887417,5.040579423237597,1.682316191663598,1.5933702142231518,1.0,0.9333333333333333,0.3
instruct,30,8.904809685099268,3.4485450645826363,59.68783514099155,9.40887455654715,0.8,0.9333333333333333,0.5333333333333333
