model,n_animals,mean_concept_delta,frac_positive_concept_delta,mean_alignment_cos,frac_positive_alignment_cos,mean_spearman,frac_positive_spearman,mean_r2
base,30,6.0141266822814945,1.0,0.1546821784241325,1.0,0.017176880954466497,0.4666666666666667,0.013590470481843416
instruct,30,12.538464228312174,1.0,0.11342826881374204,1.0,0.16058282969079235,1.0,0.02952847273554653
