variant,n_animals,mean_a2n,median_a2n,mean_n2a,median_n2a,frac_a2n_gt1,frac_n2a_gt1,frac_strong_bidir_gt2
base_plus_instruct_both,30,5.764198398887417,5.040579423237597,1.682316191663598,1.5933702142231518,1.0,0.9333333333333333,0.3
base_plus_instruct_lm_head,30,5.643791959270507,4.941121731737677,1.6959815141875474,1.6066265259171875,1.0,0.9333333333333333,0.3
base_plus_instruct_norm,30,2.251157414253396,2.0584419097484234,0.9270632137320194,0.9078038187966955,0.9333333333333333,0.3,0.0
base_ref,30,2.198941849514566,2.022745906009343,0.9287777136377021,0.9105875851195474,0.9333333333333333,0.3,0.0
instruct_ref,30,8.904809685099268,3.4485450645826363,59.68783514099155,9.40887455654715,0.8,0.9333333333333333,0.5333333333333333
